Date/Time,MAIN ZONE:RUN PERIOD 1:FLOOR ILLUMINANCE MAP at 0.30m Illuminance [lux] (Hourly), RefPt1=(-1.56:0.80:0.30),,
(-30.36;-24.68)=,666,666,666,666,666
(-30.36;-12.06)=,666,5030,5034,5067,666
(-30.36;0.56)=,666,5034,5009,5055,666
(-30.36;13.18)=,666,5060,5039,5073,666
(-30.36;25.80)=,666,666,666,666,4597
 01/02 20:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,0,0,0,0,0
(-30.36;-12.06)=,0,0,0,0,0
(-30.36;0.56)=,0,0,0,0,0
(-30.36;13.18)=,0,0,0,0,0
(-30.36;25.80)=,0,0,0,0,0
Date/Time,MAIN ZONE:RUN PERIOD 1:FLOOR ILLUMINANCE MAP at 0.30m Illuminance [lux] (Hourly), RefPt1=(-1.56:0.80:0.30),,
 01/03 08:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,445,445,445,445,445
(-30.36;-12.06)=,445,3220,3314,3354,445
(-30.36;0.56)=,445,3266,3297,3353,445
(-30.36;13.18)=,445,3292,3314,3362,445
(-30.36;25.80)=,445,445,445,445,3119
 01/03 09:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,2893,2893,2893,2893,2893
(-30.36;-12.06)=,2893,20368,20909,21700,2893
(-30.36;0.56)=,2893,20417,20798,21706,2893
(-30.36;13.18)=,2893,20742,20859,21733,2893
(-30.36;25.80)=,2893,2893,2893,2893,19816
 01/03 10:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,5951,5951,5951,5951,5951
(-30.36;-12.06)=,5951,43161,43816,45516,5951
(-30.36;0.56)=,5951,43006,43635,45660,5951
(-30.36;13.18)=,5951,43523,43674,45242,5951
(-30.36;25.80)=,5951,5951,5951,5951,41012
 01/03 11:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,8791,8791,8791,8791,8791
(-30.36;-12.06)=,8791,67524,68309,69126,8791
(-30.36;0.56)=,8791,67770,68107,69271,8791
(-30.36;13.18)=,8791,67961,68219,68765,8791
(-30.36;25.80)=,8791,8791,8791,8791,62514
 01/03 12:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,10638,10638,10638,10638,10638
(-30.36;-12.06)=,10638,86052,86575,86840,10638
(-30.36;0.56)=,10638,86092,86347,86765,10638
(-30.36;13.18)=,10638,86320,86563,86848,10638
(-30.36;25.80)=,10638,10638,10638,10638,78145
 01/03 13:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,11694,11694,11694,11694,11694
(-30.36;-12.06)=,11694,97897,98212,98356,11694
(-30.36;0.56)=,11694,97834,97949,98235,11694
(-30.36;13.18)=,11694,98031,97959,98396,11694
(-30.36;25.80)=,11694,11694,11694,11694,83274
 01/03 14:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,11915,11915,11915,11915,11915
(-30.36;-12.06)=,11915,100137,100231,100419,11915
(-30.36;0.56)=,11915,100058,100080,100280,11915
(-30.36;13.18)=,11915,100132,99980,100434,11915
(-30.36;25.80)=,11915,11915,11915,11915,55738
 01/03 15:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,11208,11208,11208,11208,11208
(-30.36;-12.06)=,11208,91288,91283,91482,11208
(-30.36;0.56)=,11208,91230,91151,91307,11208
(-30.36;13.18)=,11208,91239,91130,91397,11208
(-30.36;25.80)=,11208,11208,11208,11208,64892
 01/03 16:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,9491,9491,9491,9491,9491
(-30.36;-12.06)=,9491,73415,73439,73520,9491
(-30.36;0.56)=,9491,73397,73183,73323,9491
(-30.36;13.18)=,9491,73398,73234,73292,9491
(-30.36;25.80)=,9491,9491,9491,9491,69231
 01/03 17:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,6865,6865,6865,6865,6865
(-30.36;-12.06)=,6865,50075,50074,50073,6865
(-30.36;0.56)=,6865,50044,49768,49884,6865
(-30.36;13.18)=,6865,50073,49835,49896,6865
(-30.36;25.80)=,6865,6865,6865,6865,46258
 01/03 18:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,3540,3540,3540,3540,3540
(-30.36;-12.06)=,3540,25159,24776,24839,3540
(-30.36;0.56)=,3540,25132,24564,24726,3540
(-30.36;13.18)=,3540,25124,24626,24693,3540
(-30.36;25.80)=,3540,3540,3540,3540,22361
 01/03 19:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,798,798,798,798,798
(-30.36;-12.06)=,798,5935,5915,5950,798
(-30.36;0.56)=,798,5935,5880,5932,798
(-30.36;13.18)=,798,5960,5911,5948,798
(-30.36;25.80)=,798,798,798,798,5355
 01/03 20:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,0,0,0,0,0
(-30.36;-12.06)=,0,0,0,0,0
(-30.36;0.56)=,0,0,0,0,0
(-30.36;13.18)=,0,0,0,0,0
(-30.36;25.80)=,0,0,0,0,0
Date/Time,MAIN ZONE:RUN PERIOD 1:FLOOR ILLUMINANCE MAP at 0.30m Illuminance [lux] (Hourly), RefPt1=(-1.56:0.80:0.30),,
 01/04 08:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,242,242,242,242,242
(-30.36;-12.06)=,242,1848,1866,1883,242
(-30.36;0.56)=,242,1851,1857,1882,242
(-30.36;13.18)=,242,1864,1870,1890,242
(-30.36;25.80)=,242,242,242,242,1746
 01/04 09:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,1687,1687,1687,1687,1687
(-30.36;-12.06)=,1687,12670,12827,13038,1687
(-30.36;0.56)=,1687,12660,12763,13033,1687
(-30.36;13.18)=,1687,12778,12834,13074,1687
(-30.36;25.80)=,1687,1687,1687,1687,12021
 01/04 10:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,4181,4181,4181,4181,4181
(-30.36;-12.06)=,4181,31127,31571,32273,4181
(-30.36;0.56)=,4181,31068,31407,32293,4181
(-30.36;13.18)=,4181,31359,31510,32222,4181
(-30.36;25.80)=,4181,4181,4181,4181,29370
 01/04 11:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,6913,6913,6913,6913,6913
(-30.36;-12.06)=,6913,52856,53522,54139,6913
(-30.36;0.56)=,6913,52856,53249,54123,6913
(-30.36;13.18)=,6913,53135,53401,54052,6913
(-30.36;25.80)=,6913,6913,6913,6913,48228
 01/04 12:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,8169,8169,8169,8169,8169
(-30.36;-12.06)=,8169,64360,64919,65328,8169
(-30.36;0.56)=,8169,64265,64574,65172,8169
(-30.36;13.18)=,8169,64556,64776,65352,8169
(-30.36;25.80)=,8169,8169,8169,8169,56847
 01/04 13:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,8884,8884,8884,8884,8884
(-30.36;-12.06)=,8884,71513,71909,72175,8884
(-30.36;0.56)=,8884,71395,71500,71931,8884
(-30.36;13.18)=,8884,71601,71505,72229,8884
(-30.36;25.80)=,8884,8884,8884,8884,60996
 01/04 14:00,(-30.36;-24.68)=,(-15.92;-24.68)=,(-1.47;-24.68)=,(12.97;-24.68)=,(27.41;-24.68)=
(-30.36;-24.68)=,8872,8872,8872,8872,8872
(-30.36;-12.06)=,8872,71730,71863,72148,8872
(-30.36;0.56)=,8872,71630,71588,71885,8872
(-30.36;13.18)=,8872,71687,71458,72165,8872
(-30.36;25.80)=,8872,8872,8872,8872,54405
