Date/Time,MAIN ZONE:RUN PERIOD 1:FLOOR ILLUMINANCE MAP at 0.30m Illuminance [lux] (Hourly), RefPt1=(0.70:3.24:0.30),,
 01/01 10:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;2.40)=,9,71,73,72,9
(-26.30;15.25)=,9,46,63,68,9
(-26.30;28.11)=,9,9,9,9,9
Date/Time,MAIN ZONE:RUN PERIOD 1:FLOOR ILLUMINANCE MAP at 0.30m Illuminance [lux] (Hourly), RefPt1=(0.70:3.24:0.30),,
 01/06 10:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,701,299,40,40,40
(-26.30;-10.45)=,40,335,341,340,40
(-26.30;2.40)=,40,334,344,337,40
(-26.30;15.25)=,40,215,297,319,40
(-26.30;28.11)=,40,40,40,40,40
 01/06 11:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,2673,1151,154,154,154
(-26.30;-10.45)=,154,1290,1313,1306,154
(-26.30;2.40)=,154,1289,1326,1299,154
(-26.30;15.25)=,154,835,1146,1231,154
(-26.30;28.11)=,154,154,154,154,154
 01/06 12:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,4289,1855,250,250,250
(-26.30;-10.45)=,250,2081,2117,2104,250
(-26.30;2.40)=,250,2080,2139,2097,250
(-26.30;15.25)=,250,1359,1854,1987,250
(-26.30;28.11)=,250,250,250,250,250
 01/06 13:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,4795,2069,279,279,279
(-26.30;-10.45)=,279,2320,2362,2346,279
(-26.30;2.40)=,279,2320,2387,2342,279
(-26.30;15.25)=,279,1518,2070,2219,279
(-26.30;28.11)=,279,279,279,279,279
 01/06 14:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,3870,1657,223,223,223
(-26.30;-10.45)=,223,1857,1892,1880,223
(-26.30;2.40)=,223,1856,1911,1875,223
(-26.30;15.25)=,223,1206,1654,1776,223
(-26.30;28.11)=,223,223,223,223,223
 01/06 15:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,1972,837,112,112,112
(-26.30;-10.45)=,112,938,956,951,112
(-26.30;2.40)=,112,937,964,946,112
(-26.30;15.25)=,112,602,832,896,112
(-26.30;28.11)=,112,112,112,112,112
 01/06 16:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,121,51,7,7,7
(-26.30;-10.45)=,7,57,58,58,7
(-26.30;2.40)=,7,57,59,58,7
(-26.30;15.25)=,7,37,51,55,7
(-26.30;28.11)=,7,7,7,7,7
Date/Time,MAIN ZONE:RUN PERIOD 1:FLOOR ILLUMINANCE MAP at 0.30m Illuminance [lux] (Hourly), RefPt1=(0.70:3.24:0.30),,
 01/07 10:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,1688,771,107,107,107
(-26.30;-10.45)=,107,872,884,873,107
(-26.30;2.40)=,107,868,892,878,107
(-26.30;15.25)=,107,591,786,832,107
(-26.30;28.11)=,107,107,107,107,107
 01/07 11:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,7143,3389,490,490,490
(-26.30;-10.45)=,490,3912,3889,3817,490
(-26.30;2.40)=,490,3827,3935,3874,490
(-26.30;15.25)=,490,2741,3537,3741,490
(-26.30;28.11)=,490,490,490,490,490
 01/07 12:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,10699,5093,750,750,750
(-26.30;-10.45)=,750,5997,5808,5720,750
(-26.30;2.40)=,750,5764,5935,5806,750
(-26.30;15.25)=,750,4300,5417,5683,750
(-26.30;28.11)=,750,750,750,750,750
 01/07 13:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,10594,5123,780,780,780
(-26.30;-10.45)=,780,6188,6096,5741,780
(-26.30;2.40)=,780,6059,6035,5913,780
(-26.30;15.25)=,780,4529,5622,5805,780
(-26.30;28.11)=,780,780,780,780,780
 01/07 14:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,8365,3820,556,556,556
(-26.30;-10.45)=,556,4480,4572,4297,556
(-26.30;2.40)=,556,4416,4462,4382,556
(-26.30;15.25)=,556,3125,4057,4252,556
(-26.30;28.11)=,556,556,556,556,556
 01/07 15:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,4397,1897,258,258,258
(-26.30;-10.45)=,258,2129,2177,2149,258
(-26.30;2.40)=,258,2127,2196,2158,258
(-26.30;15.25)=,258,1413,1913,2045,258
(-26.30;28.11)=,258,258,258,258,258
 01/07 16:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,397,169,23,23,23
(-26.30;-10.45)=,23,189,193,192,23
(-26.30;2.40)=,23,189,195,192,23
(-26.30;15.25)=,23,123,169,181,23
(-26.30;28.11)=,23,23,23,23,23
Date/Time,MAIN ZONE:RUN PERIOD 1:FLOOR ILLUMINANCE MAP at 0.30m Illuminance [lux] (Hourly), RefPt1=(0.70:3.24:0.30),,
 01/08 10:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,983,419,56,56,56
(-26.30;-10.45)=,56,470,479,476,56
(-26.30;2.40)=,56,469,483,474,56
(-26.30;15.25)=,56,303,417,449,56
(-26.30;28.11)=,56,56,56,56,56
 01/08 11:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,2873,1239,166,166,166
(-26.30;-10.45)=,166,1389,1414,1406,166
(-26.30;2.40)=,166,1388,1427,1399,166
(-26.30;15.25)=,166,901,1235,1326,166
(-26.30;28.11)=,166,166,166,166,166
 01/08 12:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,4508,1952,263,263,263
(-26.30;-10.45)=,263,2189,2227,2213,263
(-26.30;2.40)=,263,2189,2251,2207,263
(-26.30;15.25)=,263,1432,1952,2092,263
(-26.30;28.11)=,263,263,263,263,263
 01/08 13:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,5018,2167,292,292,292
(-26.30;-10.45)=,292,2430,2474,2456,292
(-26.30;2.40)=,292,2430,2500,2452,292
(-26.30;15.25)=,292,1591,2169,2324,292
(-26.30;28.11)=,292,292,292,292,292
 01/08 14:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,4096,1755,236,236,236
(-26.30;-10.45)=,236,1966,2004,1991,236
(-26.30;2.40)=,236,1966,2024,1986,236
(-26.30;15.25)=,236,1278,1752,1881,236
(-26.30;28.11)=,236,236,236,236,236
 01/08 15:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,2163,919,123,123,123
(-26.30;-10.45)=,123,1029,1049,1043,123
(-26.30;2.40)=,123,1028,1058,1039,123
(-26.30;15.25)=,123,662,914,984,123
(-26.30;28.11)=,123,123,123,123,123
 01/08 16:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,199,84,11,11,11
(-26.30;-10.45)=,11,94,96,96,11
(-26.30;2.40)=,11,94,97,95,11
(-26.30;15.25)=,11,60,84,90,11
(-26.30;28.11)=,11,11,11,11,11
Date/Time,MAIN ZONE:RUN PERIOD 1:FLOOR ILLUMINANCE MAP at 0.30m Illuminance [lux] (Hourly), RefPt1=(0.70:3.24:0.30),,
 01/09 10:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,787,335,45,45,45
(-26.30;-10.45)=,45,376,382,381,45
(-26.30;2.40)=,45,375,386,378,45
(-26.30;15.25)=,45,240,333,358,45
(-26.30;28.11)=,45,45,45,45,45
 01/09 11:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,2913,1256,169,169,169
(-26.30;-10.45)=,169,1409,1433,1426,169
(-26.30;2.40)=,169,1408,1447,1419,169
(-26.30;15.25)=,169,914,1252,1344,169
(-26.30;28.11)=,169,169,169,169,169
 01/09 12:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,4700,2038,275,275,275
(-26.30;-10.45)=,275,2286,2325,2310,275
(-26.30;2.40)=,275,2285,2350,2304,275
(-26.30;15.25)=,275,1497,2039,2184,275
(-26.30;28.11)=,275,275,275,275,275
 01/09 13:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,5458,2364,319,319,319
(-26.30;-10.45)=,319,2651,2699,2679,319
(-26.30;2.40)=,319,2652,2729,2677,319
(-26.30;15.25)=,319,1743,2370,2537,319
(-26.30;28.11)=,319,319,319,319,319
 01/09 14:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,5577,2412,326,326,326
(-26.30;-10.45)=,326,2703,2756,2733,326
(-26.30;2.40)=,326,2706,2788,2736,326
(-26.30;15.25)=,326,1786,2423,2592,326
(-26.30;28.11)=,326,326,326,326,326
 01/09 15:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,3561,1525,206,206,206
(-26.30;-10.45)=,206,1707,1743,1729,206
(-26.30;2.40)=,206,1708,1761,1730,206
(-26.30;15.25)=,206,1118,1527,1637,206
(-26.30;28.11)=,206,206,206,206,206
 01/09 16:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,349,148,20,20,20
(-26.30;-10.45)=,20,166,169,168,20
(-26.30;2.40)=,20,166,171,168,20
(-26.30;15.25)=,20,107,148,159,20
(-26.30;28.11)=,20,20,20,20,20
Date/Time,MAIN ZONE:RUN PERIOD 1:FLOOR ILLUMINANCE MAP at 0.30m Illuminance [lux] (Hourly), RefPt1=(0.70:3.24:0.30),,
 01/10 10:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,939,400,54,54,54
(-26.30;-10.45)=,54,448,456,454,54
(-26.30;2.40)=,54,447,460,452,54
(-26.30;15.25)=,54,288,397,428,54
(-26.30;28.11)=,54,54,54,54,54
 01/10 11:00,(-26.30;-23.30)=,(-12.72;-23.30)=,(0.86;-23.30)=,(14.43;-23.30)=,(28.01;-23.30)=
(-26.30;-23.30)=,2921,1259,169,169,169
